feature,mean_abs_shap
sub_grade,0.33292437969941896
loan_term_flag,0.23397100581601335
fico_score,0.1510667552933871
dti,0.14996979427979681
int_rate,0.12988158669414265
home_ownership,0.10848869793585579
monthly_payment_burden,0.05337701541460608
annual_inc,0.052993569482980195
income_to_loan_ratio,0.05147654844896674
credit_history_years,0.04650965198877867
revol_util,0.04200205208726095
emp_length,0.039965010780919456
verification_status,0.03521725488770643
loan_amnt,0.02303729121862478
purpose,0.022927973685070765
pub_rec_flag,0.01931655203786207
credit_stress_score,0.01113551952183113
delinquency_flag,0.005633810757681535
high_utilization_flag,0.001820818266738921
