mean_predicted_raw,fraction_of_positives_raw,mean_predicted_calibrated,fraction_of_positives_calibrated
0.1364035878092522,0.04592289321050836,0.04609717244126342,0.046097172441258466
0.24609576686584736,0.0905865092633662,0.09180192287811237,0.09180192287811434
0.3209662253984856,0.1283179802115319,0.12894179031471584,0.12894179031469102
0.3799248459548862,0.16025794124671602,0.16342068590468403,0.16342068590462594
0.43222323860081935,0.19959058341862845,0.20244611967845488,0.20244611967843848
0.4823637051610425,0.23037292299293732,0.23514783089257701,0.23514783089251173
0.5323574686156757,0.27510321061789894,0.28193880119387865,0.28193880119377224
0.5855669450374401,0.3172637325145002,0.3205663087339749,0.3205663087340127
0.6530033497683467,0.3746630727762803,0.38225866315757157,0.38225866315753954
0.7743325571446781,0.5062436028659161,0.5182687545242672,0.5182687545243266
